timestamp,user_id,app_name,message_text,message_count,hour,day_of_week,is_overnight,sentiment_score,depression_score,anxiety_score,self_harm_score,overall_risk_score
2026-01-05 00:32:46,user_010,Discord,What's the point,10,0,Monday,TRUE,0,0.7663,0.3579,0.1484,0.4689
2026-01-05 01:42:17,user_066,Messenger,I feel empty,13,1,Monday,TRUE,0,0.6432,0.317,0.1767,0.4124
2026-01-05 03:54:45,user_052,Discord,My chest feels tight,16,3,Monday,TRUE,0.1394,0.5383,0.8211,0.1109,0.5304
2026-01-05 04:13:37,user_035,Telegram,Nothing matters,10,4,Monday,TRUE,0.0051,0.8015,0.4882,0.0518,0.5044
2026-01-05 06:47:48,user_010,WhatsApp,Why am I always alone,2,6,Monday,FALSE,0.2145,0.5137,0.5405,0.1747,0.4383
2026-01-05 07:09:08,user_042,WhatsApp,"Please reply, I'm worrying",8,7,Monday,FALSE,0.0698,0.2103,0.7983,0.003,0.3643
2026-01-05 07:45:58,user_061,Snapchat,Feeling great today,5,7,Monday,FALSE,0.7424,0.0136,0.1097,0.0121,0.0469
2026-01-05 08:50:14,user_058,Snapchat,What if it goes wrong?,15,8,Monday,FALSE,0.1744,0.2537,0.852,0.1466,0.4363
2026-01-05 11:00:10,user_047,Messenger,My chest feels tight,20,11,Monday,FALSE,0.2767,0.5863,0.8606,0.1204,0.5658
2026-01-05 12:58:17,user_071,Discord,I have so much to do,10,12,Monday,FALSE,0.1848,0.4704,0.5745,0.0399,0.3992
2026-01-05 18:04:37,user_057,Instagram,I don't feel like talking to anyone,20,18,Monday,FALSE,0.3617,0.5504,0.4036,0.0711,0.3792
2026-01-05 19:05:31,user_030,Instagram,I feel empty,2,19,Monday,FALSE,0.3138,0.7263,0.5432,0.0191,0.4854
2026-01-05 19:31:48,user_053,Telegram,School is stressing me out,7,19,Monday,FALSE,0.3063,0.5394,0.4791,0.1594,0.4233
2026-01-05 19:34:38,user_055,Telegram,I feel really alone sometimes,11,19,Monday,FALSE,0.2943,0.7378,0.3583,0.1211,0.4508
2026-01-05 22:55:03,user_035,Messenger,What time is it?,13,22,Monday,FALSE,0.5554,0.1894,0.015,0.0165,0.0851
2026-01-05 23:28:04,user_006,Messenger,I just want to stay in bed,19,23,Monday,FALSE,0.323,0.7103,0.5641,0.1758,0.5255
2026-01-05 23:48:18,user_043,Discord,Trying to keep it together,4,23,Monday,FALSE,0.078,0.5256,0.5177,0.1948,0.4401
2026-01-06 03:13:51,user_005,Messenger,What if it goes wrong?,19,3,Tuesday,TRUE,0.1123,0.5326,0.7525,0.0688,0.4936
2026-01-06 03:42:29,user_059,Messenger,I'm worried about exams,24,3,Tuesday,TRUE,0.1372,0.4136,0.4249,0.1409,0.3494
2026-01-06 04:10:59,user_043,WhatsApp,I can't stop thinking about it,5,4,Tuesday,TRUE,0.1861,0.3794,0.8829,0.1945,0.5094
2026-01-06 06:22:40,user_027,Telegram,I feel really tired today,4,6,Tuesday,FALSE,0.3804,0.5006,0.4629,0.1698,0.4047
2026-01-06 06:31:38,user_012,Snapchat,My parents are so annoying,23,6,Tuesday,FALSE,0.1898,0.4654,0.4033,0.1675,0.3692
2026-01-06 07:51:17,user_041,Telegram,I don't know what to do,3,7,Tuesday,FALSE,0.2577,0.489,0.6127,0.1564,0.4491
2026-01-06 11:10:54,user_002,Discord,I don't know what to do,1,11,Tuesday,FALSE,0.3428,0.4711,0.7942,0.0538,0.4799
2026-01-06 18:57:38,user_047,Messenger,I had fun with my friends,23,18,Tuesday,FALSE,0.8453,0.1578,0.0479,0.0276,0.0868
2026-01-06 19:08:29,user_049,Snapchat,"Please reply, I'm worrying",8,19,Tuesday,FALSE,0.1432,0.5592,0.6719,0.0594,0.4737
2026-01-06 20:51:12,user_017,Discord,My parents are so annoying,13,20,Tuesday,FALSE,0.1518,0.5051,0.3054,0.0964,0.333
2026-01-06 21:34:37,user_065,Snapchat,Did you do the homework?,21,21,Tuesday,FALSE,0.8633,0.1974,0.0221,0.003,0.0874
2026-01-06 21:42:56,user_064,Discord,Can you send me the link?,8,21,Tuesday,FALSE,0.8035,0.0377,0.0784,0.0323,0.0506
2026-01-06 21:52:42,user_002,WhatsApp,School is stressing me out,25,21,Tuesday,FALSE,0.1412,0.5438,0.5482,0.0716,0.4273
2026-01-06 22:41:39,user_034,Instagram,Everything feels overwhelming,14,22,Tuesday,FALSE,0.3897,0.4805,0.6595,0.0338,0.4315
2026-01-06 23:12:57,user_007,Instagram,"Please reply, I'm worrying",15,23,Tuesday,FALSE,0.0515,0.5317,0.8715,0.0663,0.5343
2026-01-07 00:42:47,user_043,Snapchat,I'm so nervous,12,0,Wednesday,TRUE,0,0.3403,0.8725,0.037,0.4508
2026-01-07 01:42:00,user_012,Instagram,Nothing matters,1,1,Wednesday,TRUE,0,0.8407,0.435,0.04,0.4986
2026-01-07 03:25:31,user_012,Discord,I can't stop thinking about it,22,3,Wednesday,TRUE,0.1818,0.4501,0.7958,0.1384,0.4932
2026-01-07 06:12:26,user_002,Snapchat,"Please reply, I'm worrying",19,6,Wednesday,FALSE,0.0664,0.3392,0.7133,0.1905,0.433
2026-01-07 08:30:45,user_017,Telegram,Everyone is hanging out without me,2,8,Wednesday,FALSE,0.1544,0.6991,0.5462,0.1962,0.5199
2026-01-07 12:14:34,user_042,Instagram,What time is it?,19,12,Wednesday,FALSE,0.5701,0.1987,0.0468,0.0458,0.1073
2026-01-07 12:36:35,user_016,Instagram,Can you send me the link?,20,12,Wednesday,FALSE,0.6443,0.0773,0.0901,0.0275,0.0693
2026-01-07 17:58:13,user_064,Instagram,My chest feels tight,22,17,Wednesday,FALSE,0.1322,0.4687,0.6008,0.1814,0.4431
2026-01-07 18:11:32,user_065,Snapchat,On my way,19,18,Wednesday,FALSE,0.9163,0.136,0.1752,0.0277,0.1226
2026-01-07 18:15:40,user_057,Instagram,I'm so nervous,4,18,Wednesday,FALSE,0.399,0.3736,0.824,0.0197,0.4428
2026-01-07 19:38:47,user_004,Snapchat,Did you do the homework?,24,19,Wednesday,FALSE,0.5307,0.0946,0.0338,0.0026,0.0503
2026-01-07 19:58:55,user_014,Discord,I'm so nervous,22,19,Wednesday,FALSE,0.1832,0.2243,0.8892,0.0958,0.4249
2026-01-07 20:19:53,user_061,WhatsApp,My chest feels tight,21,20,Wednesday,FALSE,0.2237,0.2107,0.739,0.0005,0.3431
2026-01-07 20:23:44,user_006,Telegram,Feeling left out,6,20,Wednesday,FALSE,0.2375,0.7743,0.3328,0.0496,0.4386
2026-01-07 20:38:31,user_059,WhatsApp,Can't wait for the weekend,3,20,Wednesday,FALSE,0.5347,0.1926,0.0568,0.0117,0.0998
2026-01-07 21:04:52,user_065,Discord,"Please reply, I'm worrying",7,21,Wednesday,FALSE,0.0026,0.4523,0.6412,0.0136,0.4087
2026-01-07 22:04:56,user_073,Snapchat,So much homework,10,22,Wednesday,FALSE,0.3094,0.3932,0.3259,0.0913,0.2942
2026-01-07 22:33:42,user_042,Messenger,My chest feels tight,2,22,Wednesday,FALSE,0.0559,0.3489,0.776,0.0756,0.4301
2026-01-07 23:49:24,user_055,Snapchat,Best day ever,25,23,Wednesday,FALSE,0.8948,0.1957,0.0427,0.0106,0.0959
2026-01-08 00:17:13,user_055,Discord,I don't feel like talking to anyone,14,0,Thursday,TRUE,0.0305,0.6634,0.5141,0.156,0.4843
2026-01-08 00:37:45,user_013,Snapchat,Everything feels overwhelming,13,0,Thursday,TRUE,0.1386,0.6582,0.5882,0.0747,0.4878
2026-01-08 01:22:28,user_048,Messenger,I can't stop thinking about it,15,1,Thursday,TRUE,0.1318,0.5128,0.741,0.1651,0.5057
2026-01-08 04:19:38,user_065,Telegram,I just want to stay in bed,9,4,Thursday,TRUE,0.1685,0.7757,0.3875,0.0608,0.4611
2026-01-08 04:59:11,user_011,Instagram,My chest feels tight,10,4,Thursday,TRUE,0.0397,0.3074,0.7691,0.1439,0.4281
2026-01-08 05:15:37,user_062,WhatsApp,My chest feels tight,7,5,Thursday,FALSE,0.1857,0.5126,0.7611,0.0638,0.4873
2026-01-08 06:02:30,user_072,Discord,Just woke up,23,6,Thursday,FALSE,0.7182,0.199,0.1854,0.002,0.145
2026-01-08 07:52:16,user_070,Discord,Are we still on for later?,5,7,Thursday,FALSE,0.7459,0.1857,0.1221,0.0089,0.1192
2026-01-08 10:27:05,user_040,Discord,Just woke up,4,10,Thursday,FALSE,0.5998,0.0051,0.0342,0.0146,0.0177
2026-01-08 10:47:56,user_010,Instagram,So much homework,10,10,Thursday,FALSE,0.3177,0.3175,0.4851,0.1058,0.3232
2026-01-08 11:31:37,user_047,Snapchat,Trying to keep it together,5,11,Thursday,FALSE,0.2706,0.5299,0.3853,0.0123,0.3499
2026-01-08 18:00:52,user_075,WhatsApp,Did you do the homework?,25,18,Thursday,FALSE,0.5884,0.1943,0.1075,0.0489,0.1276
2026-01-08 18:12:54,user_029,WhatsApp,I can't deal with this right now,20,18,Thursday,FALSE,0.1279,0.4095,0.5038,0.1593,0.38
2026-01-08 19:25:28,user_061,Telegram,I can't stop thinking about it,3,19,Thursday,FALSE,0.2019,0.3159,0.6666,0.0789,0.3794
2026-01-08 21:34:49,user_038,Instagram,Feeling great today,10,21,Thursday,FALSE,0.7563,0.0938,0.1468,0.0211,0.0942
2026-01-08 22:24:20,user_056,WhatsApp,I have no real friends,21,22,Thursday,FALSE,0.026,0.5383,0.5757,0.0884,0.4389
2026-01-08 23:38:19,user_015,Snapchat,Can you send me the link?,12,23,Thursday,FALSE,0.6064,0.1313,0.0448,0.0054,0.0696
2026-01-09 03:56:59,user_006,Telegram,I'm worried about exams,8,3,Friday,TRUE,0,0.5135,0.4123,0.1199,0.3797
2026-01-09 06:36:56,user_072,Telegram,I don't know what to do,8,6,Friday,FALSE,0.2622,0.5658,0.7187,0.0918,0.5008
2026-01-09 07:14:02,user_042,WhatsApp,I can't stop thinking about it,21,7,Friday,FALSE,0.3631,0.3879,0.7084,0.0909,0.4258
2026-01-09 08:02:09,user_039,Discord,What if it goes wrong?,21,8,Friday,FALSE,0.2551,0.3528,0.8646,0.1961,0.4927
2026-01-09 08:25:44,user_044,Messenger,That was hilarious,11,8,Friday,FALSE,0.8625,0.1998,0.1757,0.0105,0.144
2026-01-09 08:38:31,user_041,Telegram,Just woke up,7,8,Friday,FALSE,0.5572,0.0909,0.109,0.0474,0.0864
2026-01-09 09:19:13,user_002,Messenger,Did you do the homework?,19,9,Friday,FALSE,0.8043,0.1458,0.0239,0.0098,0.0691
2026-01-09 10:34:12,user_018,Messenger,See you tomorrow,20,10,Friday,FALSE,0.625,0.149,0.1537,0.0423,0.124
2026-01-09 10:35:07,user_037,Instagram,Feeling great today,7,10,Friday,FALSE,0.5972,0.1171,0.1531,0.0022,0.101
2026-01-09 15:39:13,user_068,Messenger,Everything feels overwhelming,16,15,Friday,FALSE,0.1673,0.3521,0.6789,0.1168,0.4077
2026-01-09 16:28:18,user_047,Telegram,I just want to stay in bed,1,16,Friday,FALSE,0.1468,0.5003,0.4552,0.0758,0.3784
2026-01-09 17:11:12,user_057,Instagram,Wish I had someone to talk to,25,17,Friday,FALSE,0.3269,0.7485,0.3366,0.1536,0.4556
2026-01-09 17:57:05,user_013,Snapchat,Just woke up,2,17,Friday,FALSE,0.8523,0.0863,0.1307,0.0304,0.0879
2026-01-09 18:24:58,user_029,Snapchat,What if it goes wrong?,8,18,Friday,FALSE,0.29,0.514,0.7962,0.1932,0.5326
2026-01-09 18:56:49,user_001,Messenger,Having the best time,19,18,Friday,FALSE,0.8749,0.1389,0.1755,0.0227,0.1227
2026-01-09 20:36:57,user_011,Telegram,"Please reply, I'm worrying",20,20,Friday,FALSE,0.3062,0.5924,0.6106,0.19,0.4982
